,target,Offset,RMSE,MAE,MaxError,day,month,year,model,version
0,gz,OS0,1.1511730945517276,0.40633941615243097,5.23080746108176,12,1,2022,SVM-RBF,1.0.1
1,gz,OS0,1.2710159542154091,1.1822645506271114,5.001776616572341,12,1,2022,SVM-RBF,1.0.1
0,gz,OS1,0.9585640250739648,0.2513763761370045,6.067849338050243,12,1,2022,SVM-RBF,1.0.1
1,gz,OS1,1.20133730395148,1.073907413693031,5.460150470075304,12,1,2022,SVM-RBF,1.0.1
0,gz,OS2,0.8845591546605792,0.22177438144138195,4.415319714063681,12,1,2022,SVM-RBF,1.0.1
1,gz,OS2,1.1355342733277964,0.8975839708330486,5.456743645258168,12,1,2022,SVM-RBF,1.0.1
