,target,Offset,RMSE,MAE,MaxError,day,month,year,model,version
0,gz,OS0,1.1415241452756635,0.39412721256201766,5.239097540562733,11,1,2022,SVM-RBF,1.0.1
1,gz,OS0,1.2647361616600625,1.1390973979805699,6.27537976156548,11,1,2022,SVM-RBF,1.0.1
0,gz,OS1,0.9677110961862997,0.2416253859630868,4.885803153174252,11,1,2022,SVM-RBF,1.0.1
1,gz,OS1,1.266973564114928,1.1515602676071528,5.088155360832669,11,1,2022,SVM-RBF,1.0.1
0,gz,OS2,0.8889547089321428,0.2313829067487847,5.360430457776819,12,1,2022,SVM-RBF,1.0.1
1,gz,OS2,1.6694434872593025,1.4446364764360187,6.836913218120811,12,1,2022,SVM-RBF,1.0.1
