,target,MSE,MAE,MaxError,day,month,year,model,version
0,['gz_pchip_interp'],0.8825793562185749,0.22019590226932984,4.922002231065287,25,8,2021,SVM-RBF,0.24.2
1,['gz_pchip_interp'],0.9431552539682656,0.6029461090786232,5.53000014524796,25,8,2021,SVM-RBF,0.24.2
