,target,MSE,MAE,MaxError,day,month,year,model,version
0,['He_por'],1.9981103757020147,0.5384217314023547,7.50229680204043,25,8,2021,SVM-RBF,0.24.2
1,['He_por'],2.0347509472679737,0.814234334247633,5.439031246988318,25,8,2021,SVM-RBF,0.24.2
