,target,Offset,RMSE,MAE,MaxError,day,month,year,model,version
0,gz,OS0,1.1627526114698614,0.4361789257180644,5.998694985117386,11,1,2022,SVM-RBF,1.0.1
1,gz,OS0,1.2934251784823216,1.2149548741385536,5.539191095000859,11,1,2022,SVM-RBF,1.0.1
0,gz,OS1,0.9795586995990097,0.2323987900683364,4.7306114781139925,11,1,2022,SVM-RBF,1.0.1
1,gz,OS1,1.2318125023319033,1.068586097324808,5.07625080295789,11,1,2022,SVM-RBF,1.0.1
0,gz,OS2,0.898362926665017,0.22782097895342046,5.631535395641799,11,1,2022,SVM-RBF,1.0.1
1,gz,OS2,1.2310886199337188,1.047209384054145,5.6323307701283225,11,1,2022,SVM-RBF,1.0.1
