,target,Offset,RMSE,MAE,MaxError,day,month,year,model,version
0,gz,OS0,1.1256581844993054,0.40960291066755783,4.983785911349848,11,1,2022,SVM-RBF,1.0.1
1,gz,OS0,1.3184917939989131,1.1737447164362824,5.917273356315764,11,1,2022,SVM-RBF,1.0.1
0,gz,OS1,0.9458015851939823,0.2448463811240993,4.839512717368395,11,1,2022,SVM-RBF,1.0.1
1,gz,OS1,1.2072317292857129,1.0371957568077503,4.200275542355817,11,1,2022,SVM-RBF,1.0.1
0,gz,OS2,0.8678773798599437,0.22446589871342582,4.593815998326082,11,1,2022,SVM-RBF,1.0.1
1,gz,OS2,1.212908215004821,1.0613522771797856,5.070807999357833,11,1,2022,SVM-RBF,1.0.1
