,target,Offset,MSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,2.154531619444441,0.5967527102240444,8.622465487752535,11,1,2022,SVM-RBF,1.0.1
1,por,OS0,1.849385515706156,0.8701329351149676,6.286285189625506,11,1,2022,SVM-RBF,1.0.1
0,por,OS1,1.7544743123951976,0.40307480626479864,8.32658116069307,11,1,2022,SVM-RBF,1.0.1
1,por,OS1,1.7643111718525537,0.7347452707408682,7.594203906627392,11,1,2022,SVM-RBF,1.0.1
0,por,OS2,1.7247320634958168,0.44130240815519617,8.171127779538974,11,1,2022,SVM-RBF,1.0.1
1,por,OS2,1.8057527150450594,0.7834533516158899,6.083577349467679,11,1,2022,SVM-RBF,1.0.1
