,target,Offset,MSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,2.1746924728368895,0.6647774089907426,8.643745750041523,12,1,2022,SVM-RBF,1.0.1
1,por,OS0,2.8118704901275517,1.2352100126600156,12.41567148732911,12,1,2022,SVM-RBF,1.0.1
0,por,OS1,1.7003140989183265,0.5730800538912151,8.322873472367826,12,1,2022,SVM-RBF,1.0.1
1,por,OS1,1.8790856699348768,1.0013545082753974,5.690897988765272,12,1,2022,SVM-RBF,1.0.1
0,por,OS2,1.3879165704950098,0.5008169563087472,8.440864321001232,12,1,2022,SVM-RBF,1.0.1
1,por,OS2,1.8205985565628966,0.8190929785338801,8.39130124957116,12,1,2022,SVM-RBF,1.0.1
