,target,Offset,MSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,2.1676057062364897,0.5715084053684656,8.392954457496542,12,1,2022,SVM-RBF,1.0.1
1,por,OS0,2.250170056047588,1.1749107578232358,7.22567934133675,12,1,2022,SVM-RBF,1.0.1
0,por,OS1,1.5184912901026288,0.4615046123901543,8.644108820998728,12,1,2022,SVM-RBF,1.0.1
1,por,OS1,1.7667702826074903,0.9204206111705813,6.923021965609523,12,1,2022,SVM-RBF,1.0.1
0,por,OS2,1.5722885907370512,0.579384810692849,6.533972882322198,12,1,2022,SVM-RBF,1.0.1
1,por,OS2,1.6711418790691652,0.909325037422962,6.21111340187402,12,1,2022,SVM-RBF,1.0.1
