,target,Offset,MSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,1.3461994959632397,0.5326945472290081,4.942337808719156,11,1,2022,SVM-RBF,1.0.1
1,por,OS0,1.7742562101086636,0.7765821813032923,5.352253355463905,11,1,2022,SVM-RBF,1.0.1
0,por,OS1,1.4931365848606122,0.4880767709221123,8.203429738709815,11,1,2022,SVM-RBF,1.0.1
1,por,OS1,1.5744535268047175,0.7737928111812007,5.099566070265259,11,1,2022,SVM-RBF,1.0.1
0,por,OS2,1.836444417582261,0.3915938609128151,7.643462807771913,11,1,2022,SVM-RBF,1.0.1
1,por,OS2,1.8737144485752946,1.0734981908574763,6.477407260875408,11,1,2022,SVM-RBF,1.0.1
