,target,MSE,MAE,MaxError,day,month,year,model,version
0,['perm_klink_md'],0.012919675076123079,0.006183440235157248,0.05870613802019939,25,8,2021,SVM-RBF,0.24.2
1,['perm_klink_md'],0.018420408607817764,0.008436713857423228,0.06346791462884062,25,8,2021,SVM-RBF,0.24.2
