,target,MSE,MAE,MaxError,day,month,year,model,version
0,['He_por'],1.5496797352817888,0.5318087138771928,7.899336740677026,25,8,2021,SVM-RBF,0.24.2
1,['He_por'],1.81425622557143,0.9113196934656531,6.816686719887618,25,8,2021,SVM-RBF,0.24.2
