,target,Offset,MSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,1.8949884309502532,0.6035345435862034,7.997921418032226,11,1,2022,SVM-RBF,1.0.1
1,por,OS0,1.927450643766938,1.0732159859329897,6.596959742790586,11,1,2022,SVM-RBF,1.0.1
0,por,OS1,1.7995559484697075,0.5588103465750396,7.637637615467944,11,1,2022,SVM-RBF,1.0.1
1,por,OS1,1.8390366081703262,0.9691458290295385,6.5532603115964765,11,1,2022,SVM-RBF,1.0.1
0,por,OS2,2.014128945616036,0.5064608973124249,8.734106614418735,11,1,2022,SVM-RBF,1.0.1
1,por,OS2,1.8713521894829273,1.0849571801065165,7.619768913301643,11,1,2022,SVM-RBF,1.0.1
