,target,Offset,MSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,2.065777166645602,0.4993165774135848,8.603026507488757,12,1,2022,SVM-RBF,1.0.1
1,por,OS0,1.7252368086112062,0.8600912940357675,6.548036906379112,12,1,2022,SVM-RBF,1.0.1
0,por,OS1,1.6274773539522376,0.5176043622223281,8.219540543641198,12,1,2022,SVM-RBF,1.0.1
1,por,OS1,1.9367644655146206,1.0024541985009092,6.928881591713386,12,1,2022,SVM-RBF,1.0.1
0,por,OS2,1.301568453612734,0.4847436125143787,5.327914623108777,12,1,2022,SVM-RBF,1.0.1
1,por,OS2,1.6272278020502942,0.8796276644343903,6.430902616900797,12,1,2022,SVM-RBF,1.0.1
