,target,Offset,MSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,1.549181433460181,0.5165977154759469,5.737073164441476,12,1,2022,SVM-RBF,1.0.1
1,por,OS0,1.762398854882994,0.9920459902430654,6.673957377693332,12,1,2022,SVM-RBF,1.0.1
0,por,OS1,1.9132920874983181,0.5070581046772915,7.85643341406544,12,1,2022,SVM-RBF,1.0.1
1,por,OS1,2.0849803452944067,0.9215004819893466,7.076056380019017,12,1,2022,SVM-RBF,1.0.1
0,por,OS2,1.4760168475061932,0.6031236410393861,6.770412809086968,12,1,2022,SVM-RBF,1.0.1
1,por,OS2,1.6352031585916114,0.914723247796454,6.4632535026216,12,1,2022,SVM-RBF,1.0.1
