,target,Offset,MSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,2.4208585499328388,0.6954762435088435,8.697085525065273,11,1,2022,SVM-RBF,1.0.1
1,por,OS0,1.9731551126943454,1.1103666042400513,7.014099654841913,11,1,2022,SVM-RBF,1.0.1
0,por,OS1,2.112193101826348,0.42717833740271427,8.868395057319677,11,1,2022,SVM-RBF,1.0.1
1,por,OS1,2.332102866647027,1.035008903695056,9.103659665320642,11,1,2022,SVM-RBF,1.0.1
0,por,OS2,1.7888053249839388,0.6989598672002906,8.216685828235189,11,1,2022,SVM-RBF,1.0.1
1,por,OS2,2.232092673941998,0.8744529940215147,12.37865675887437,11,1,2022,SVM-RBF,1.0.1
