,target,Offset,RMSE,MAE,day,month,year,model,version
0,Multi-XRF,OS0,1.3281754399767098,0.6214986687433616,12,1,2022,MVR,1.0.1
0,Multi-XRF,OS1,1.2662806808375662,0.6068064650466917,12,1,2022,MVR,1.0.1
0,Multi-XRF,OS2,1.3387350807690463,0.5922666541864297,12,1,2022,MVR,1.0.1
