,target,Offset,RMSE,MAE,day,month,year,model,version
0,Multi-XRF,OS0,1.3468136518691445,0.7047170859989611,12,1,2022,MVR,1.0.1
0,Multi-XRF,OS1,1.1621432274376404,0.5984531147889596,12,1,2022,MVR,1.0.1
0,Multi-XRF,OS2,1.284564184168076,0.5703523944717885,12,1,2022,MVR,1.0.1
