,target,Offset,MSE,MAE,day,month,year,model,version
0,MultiXRF,OS0,1.1112365355510654,0.5200415961599352,11,1,2022,XGB,1.4.2
0,MultiXRF,OS1,1.0636694197464163,0.4401845132160189,11,1,2022,XGB,1.4.2
0,MultiXRF,OS2,1.1053976306209947,0.445028493368625,11,1,2022,XGB,1.4.2
