,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,gz,OS0,0.7601474909886949,0.2143353631973266,4.584762116308715,11,1,2022,XGB,1.4.2
1,gz,OS0,0.7410268153279033,0.19063079738616961,4.548219041391235,11,1,2022,XGB,1.4.2
0,gz,OS1,0.6884813435314469,0.16983826539703362,5.375881864574952,11,1,2022,XGB,1.4.2
1,gz,OS1,0.6661833131763595,0.14407291245703147,5.2203261394772955,11,1,2022,XGB,1.4.2
0,gz,OS2,0.7139256211962699,0.15840347766876195,5.077508469458129,11,1,2022,XGB,1.4.2
1,gz,OS2,0.6966233330391199,0.15196603961560062,4.464461823339965,11,1,2022,XGB,1.4.2
