,target,MSE,MAE,MaxError,day,month,year,model,version
0,['He_por'],1.7101407910452127,0.6664279460906979,6.160114288330078,25,8,2021,XGB,1.4.2
1,['He_por'],1.7176759909134967,0.7792284011840818,6.173608779907227,25,8,2021,XGB,1.4.2
