,target,MSE,MAE,MaxError,day,month,year,model,version
0,['gz_pchip_interp'],0.7254829960640051,0.1951672235516968,4.8855055137117915,25,8,2021,XGB,1.4.2
1,['gz_pchip_interp'],0.6968410577816928,0.16059098188140886,4.643627004190307,25,8,2021,XGB,1.4.2
