,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,1.5958745387388114,0.7040097236633303,4.576965141296387,11,1,2022,XGB,1.4.2
1,por,OS0,1.5140300598478798,0.7274703025817875,5.154385185241699,11,1,2022,XGB,1.4.2
0,por,OS1,1.617729766545312,0.7086239814758297,6.595712280273437,11,1,2022,XGB,1.4.2
1,por,OS1,1.5680503158118428,0.6827799797058107,6.496291732788086,11,1,2022,XGB,1.4.2
0,por,OS2,1.6296333904357903,0.5864387512207028,6.1845661163330075,11,1,2022,XGB,1.4.2
1,por,OS2,1.6368652375079016,0.6509682655334474,5.802539443969726,11,1,2022,XGB,1.4.2
