,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,gz,OS0,0.7639857289541333,0.218981693840393,5.791256143597169,11,1,2022,XGB,1.4.2
1,gz,OS0,0.7366200504572586,0.18830045487207037,5.302796556500001,11,1,2022,XGB,1.4.2
0,gz,OS1,0.695667564809456,0.18056715489575215,4.802277346487548,11,1,2022,XGB,1.4.2
1,gz,OS1,0.6737093633560176,0.15018541262908935,4.6153862675385735,11,1,2022,XGB,1.4.2
0,gz,OS2,0.6815643600222816,0.14637675788049354,5.835631107336427,11,1,2022,XGB,1.4.2
1,gz,OS2,0.6670435320068222,0.12786591974719208,5.802559350973512,11,1,2022,XGB,1.4.2
