,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,1.6395997292694449,0.788703441619873,5.992276191711426,11,1,2022,XGB,1.4.2
1,por,OS0,1.7264192445250182,0.840156078338623,5.254620552062988,11,1,2022,XGB,1.4.2
0,por,OS1,2.1873301519103006,0.6499925613403317,7.5616456985473635,11,1,2022,XGB,1.4.2
1,por,OS1,2.188413234964572,0.617020225524902,8.085849952697753,11,1,2022,XGB,1.4.2
0,por,OS2,1.5469200194677446,0.5391593933105465,6.822297668457031,11,1,2022,XGB,1.4.2
1,por,OS2,1.6148444780556466,0.5162951469421388,7.226298904418945,11,1,2022,XGB,1.4.2
