,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,1.9149475783251735,0.7891846179962161,7.294050765037536,11,1,2022,XGB,1.4.2
1,por,OS0,1.5778627393883813,0.7052288055419922,5.3323540687561035,11,1,2022,XGB,1.4.2
0,por,OS1,1.8811067731421072,0.6955682754516603,7.236802101135254,11,1,2022,XGB,1.4.2
1,por,OS1,1.8909376849775583,0.7900581836700438,7.136133193969727,11,1,2022,XGB,1.4.2
0,por,OS2,1.3013584834290224,0.5679131031036375,5.451408052444458,11,1,2022,XGB,1.4.2
1,por,OS2,1.2031223810137064,0.5086585998535149,3.901116371154785,11,1,2022,XGB,1.4.2
