,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,1.5963937711110965,0.720714616775513,6.3481451034545895,11,1,2022,XGB,1.4.2
1,por,OS0,1.520054233739721,0.7798609733581543,5.593989467620849,11,1,2022,XGB,1.4.2
0,por,OS1,1.429962996525004,0.6513360023498542,5.1399437427520756,11,1,2022,XGB,1.4.2
1,por,OS1,1.3917339400187068,0.6664461612701418,6.425120258331299,11,1,2022,XGB,1.4.2
0,por,OS2,1.7774567781950992,0.6357930183410643,8.631390190124511,11,1,2022,XGB,1.4.2
1,por,OS2,1.727802413401102,0.5233884811401364,7.661304092407226,11,1,2022,XGB,1.4.2
