,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,gz,OS0,0.7360517078626466,0.20879160808459463,4.5179682536562495,11,1,2022,XGB,1.4.2
1,gz,OS0,0.7083336669315426,0.17939920616149885,4.562322454019409,11,1,2022,XGB,1.4.2
0,gz,OS1,0.7286780737763223,0.1815994154461671,4.7874220176180415,11,1,2022,XGB,1.4.2
1,gz,OS1,0.6994923672508587,0.1429970696206666,5.034967498346191,11,1,2022,XGB,1.4.2
0,gz,OS2,0.661581680521844,0.13708790707055707,4.2874814193725586,11,1,2022,XGB,1.4.2
1,gz,OS2,0.6609638433646323,0.14065519383197023,4.361496321487427,11,1,2022,XGB,1.4.2
