,target,MSE,MAE,MaxError,day,month,year,model,version
0,['gz_pchip_interp'],0.6942722868497039,0.1417721413652342,4.249284140396118,25,8,2021,XGB,1.4.2
1,['gz_pchip_interp'],0.6689389039263549,0.1354239602307128,4.7706143398557135,25,8,2021,XGB,1.4.2
