,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,1.6458731439886014,0.7600053787231444,5.932401657104492,11,1,2022,XGB,1.4.2
1,por,OS0,1.6048848234454351,0.8471817970275879,5.594010353088379,11,1,2022,XGB,1.4.2
0,por,OS1,2.1202381012297264,0.7428616523742679,8.02255630493164,11,1,2022,XGB,1.4.2
1,por,OS1,1.8794253495418738,0.6441059112548828,7.905861854553223,11,1,2022,XGB,1.4.2
0,por,OS2,1.3452211169129824,0.6466874599456789,5.479448890686035,11,1,2022,XGB,1.4.2
1,por,OS2,1.3740755549563124,0.6877781391143802,4.5099187850952145,11,1,2022,XGB,1.4.2
