,well,target,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,CEPO,['gz_pchip_interp'],0.7179949649931198,0.20743172708315694,3.832426086655988,700,16,12,2021,catboost,0.26.1
1,CEPO,['gz_pchip_interp'],0.6708030371343502,0.1082036589443538,3.805031846271829,700,16,12,2021,catboost,0.26.1
2,CEPO,['gz_pchip_interp'],1.0583652402313286,0.6736775798356529,3.747232717665497,700,16,12,2021,catboost,0.26.1
