,target,Offset,MSE,MAE,day,month,year,model,version
0,MultiXRF,OS0,1.1725105810322778,0.5182082597780228,17,1,2022,XGB,1.4.2
0,MultiXRF,OS1,1.0797012602137224,0.45629913436889613,17,1,2022,XGB,1.4.2
0,MultiXRF,OS2,1.0328805597627657,0.4442139115285869,17,1,2022,XGB,1.4.2
