,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,gz,OS0,0.7121074749000157,0.20817519936968987,5.137156679180665,13,1,2022,XGB,1.4.2
1,gz,OS0,0.7006894210912853,0.18971201638513202,5.951781703976197,13,1,2022,XGB,1.4.2
0,gz,OS1,0.7330716077651607,0.16964072952270515,5.183799581094604,13,1,2022,XGB,1.4.2
1,gz,OS1,0.6970534342055176,0.1530903015845333,5.11180837587915,13,1,2022,XGB,1.4.2
0,gz,OS2,0.6619214097986496,0.13713364734649636,4.274399391937256,13,1,2022,XGB,1.4.2
1,gz,OS2,0.6499057539727057,0.12121590256738268,4.831655816598754,13,1,2022,XGB,1.4.2
