,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,1.6299293431267912,0.6441984176635742,7.275251007080078,13,1,2022,XGB,1.4.2
1,por,OS0,1.6548131537263873,0.7895103454589846,7.328381156921386,13,1,2022,XGB,1.4.2
0,por,OS1,1.7737493672603537,0.7070957183837896,6.779648399353027,13,1,2022,XGB,1.4.2
1,por,OS1,1.9942761451235493,0.7140872001647951,8.69044075012207,13,1,2022,XGB,1.4.2
0,por,OS2,1.569064765344952,0.6565896034240719,7.117127227783203,13,1,2022,XGB,1.4.2
1,por,OS2,1.4672716036725932,0.5229196548461914,6.054212379455566,13,1,2022,XGB,1.4.2
