,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,por,OS0,1.2775032280265672,0.5167217254638672,4.070172214508057,13,1,2022,XGB,1.4.2
1,por,OS0,1.2287812085972099,0.4818731307983395,3.849743747711182,13,1,2022,XGB,1.4.2
0,por,OS1,1.7927258956557983,0.6280786514282228,7.240588760375976,13,1,2022,XGB,1.4.2
1,por,OS1,1.8863274741921325,0.7503194332122805,7.586166954040527,13,1,2022,XGB,1.4.2
0,por,OS2,1.5918383175311137,0.7227942466735842,5.955567073822022,13,1,2022,XGB,1.4.2
1,por,OS2,1.617397683848607,0.8742656707763672,6.232764625549317,13,1,2022,XGB,1.4.2
