,target,offset,RMSE,MAE,MaxError,day,month,year,model,version
0,gz,OS0,0.7444504724887415,0.20869363212585457,5.016631202264648,13,1,2022,XGB,1.4.2
1,gz,OS0,0.7190707495030084,0.20023471393585113,4.5026882453402095,13,1,2022,XGB,1.4.2
0,gz,OS1,0.7164757073246472,0.17862020314129645,3.687620219622924,13,1,2022,XGB,1.4.2
1,gz,OS1,0.6857510807240419,0.15452768652978532,4.019358241629517,13,1,2022,XGB,1.4.2
0,gz,OS2,0.6791770526152137,0.16074333098907556,4.955915050073486,13,1,2022,XGB,1.4.2
1,gz,OS2,0.6533648819860227,0.1361704580307006,4.617117957635742,13,1,2022,XGB,1.4.2
