,target,offset,RMSE,MAE,iter,day,month,year,model,version
0,MultiXRF,OS0,1.1078878927054248,0.5274928501889997,1000,11,1,2022,catboost,0.26.1
1,MultiXRF,OS0,1.1448101372786983,0.4890553757651836,1000,11,1,2022,catboost,0.26.1
0,MultiXRF,OS1,1.0654874920281803,0.4193988224907351,1000,11,1,2022,catboost,0.26.1
1,MultiXRF,OS1,1.068761175129104,0.39730045806091174,1000,11,1,2022,catboost,0.26.1
0,MultiXRF,OS2,0.953328663584529,0.3881988254117393,1000,11,1,2022,catboost,0.26.1
1,MultiXRF,OS2,0.9374127998679898,0.35305241531464215,1000,11,1,2022,catboost,0.26.1
