,target,MSE,MAE,MaxError,iter,day,month,year,model,version
0,['perm_klink_md'],0.03796846748355311,0.006144139536080666,0.33112106812733694,150,23,8,2021,catboost,0.26.1
1,['perm_klink_md'],0.03583789591283512,0.007327148770034521,0.3160220842212642,150,23,8,2021,catboost,0.26.1
