,target,MSE,MAE,MaxError,iter,day,month,year,model,version
0,['perm_klink_md'],0.018993330859828506,0.0065801183335613585,0.08532786752596166,150,23,8,2021,catboost,0.26.1
1,['perm_klink_md'],0.04327606257528827,0.006091899073426384,0.2757786970269413,150,23,8,2021,catboost,0.26.1
