,target,offset,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,poro,OS0,1.5696871985318341,0.7158091515191041,6.890731388592575,200,11,1,2022,catboost,0.26.1
1,poro,OS0,1.5559723168306223,0.6455954869742699,6.14629926617173,200,11,1,2022,catboost,0.26.1
0,poro,OS1,1.5518120485757236,0.6669907047617363,5.341017545619336,200,11,1,2022,catboost,0.26.1
1,poro,OS1,1.5603944885213696,0.7123004949255289,5.4790178023254414,200,11,1,2022,catboost,0.26.1
0,poro,OS2,1.3294602227227736,0.5421018886366555,5.704705565665616,200,11,1,2022,catboost,0.26.1
1,poro,OS2,1.4159361486092727,0.5239122100539046,5.441517836447074,200,11,1,2022,catboost,0.26.1
