,target,MSE,MAE,iter,day,month,year,model,version
0,MultiXRF,0.9874528928927436,0.4604015648501578,500,23,8,2021,catboost,0.26.1
1,MultiXRF,0.9757875222905403,0.4277973136256433,500,23,8,2021,catboost,0.26.1
