,target,offset,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,poro,OS0,1.6940155513223396,0.7626275684276429,5.893324404576584,200,11,1,2022,catboost,0.26.1
1,poro,OS0,1.7992679355706918,0.999707227495219,5.729430345797857,200,11,1,2022,catboost,0.26.1
0,poro,OS1,1.7735128075971252,0.6834714083289626,7.6416904845656966,200,11,1,2022,catboost,0.26.1
1,poro,OS1,1.8332565763103266,0.6269130764657005,7.72386646419611,200,11,1,2022,catboost,0.26.1
0,poro,OS2,1.3357116615051463,0.6990280557628044,5.627258077955757,200,11,1,2022,catboost,0.26.1
1,poro,OS2,1.4144163132080807,0.5163425424656936,5.755371023223258,200,11,1,2022,catboost,0.26.1
