,target,MSE,MAE,MaxError,iter,day,month,year,model,version
0,['He_por'],1.7536327845476418,0.5955880587372109,5.642538595377392,250,23,8,2021,catboost,0.26.1
1,['He_por'],1.8642003062339076,0.816272590335954,5.68802848816426,250,23,8,2021,catboost,0.26.1
