,target,offset,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,gz,OS0,0.9285884793933937,0.43875852119804315,4.517514741607011,30,10,1,2022,catboost,0.26.1
1,gz,OS0,0.7471990046762064,0.23699093848433517,4.63800969656591,30,10,1,2022,catboost,0.26.1
0,gz,OS1,0.8124147993220275,0.31591402275468816,5.187426874117984,30,10,1,2022,catboost,0.26.1
1,gz,OS1,0.6814392497386442,0.17377202196412478,4.067698987350209,30,10,1,2022,catboost,0.26.1
0,gz,OS2,0.7571762719129742,0.25791186399446264,4.283538441630176,30,10,1,2022,catboost,0.26.1
1,gz,OS2,0.690243290301192,0.17494565916983662,4.083899382519977,30,10,1,2022,catboost,0.26.1
