,target,MSE,MAE,MaxError,iter,day,month,year,model,version
0,['He_por'],1.9774396592968932,0.7356698385080112,6.111461670932446,250,23,8,2021,catboost,0.26.1
1,['He_por'],1.9209893117230952,0.6978047349718306,5.958920312925996,250,23,8,2021,catboost,0.26.1
