,target,MSE,MAE,MaxError,iter,day,month,year,model,version
0,['gz_pchip_interp'],0.743674334170644,0.2876663477970789,4.68313810091407,300,23,8,2021,catboost,0.26.1
1,['gz_pchip_interp'],0.6564115022521029,0.14222895875166652,4.764305077372446,300,23,8,2021,catboost,0.26.1
