,target,MSE,MAE,MaxError,iter,day,month,year,model,version
0,['gz_pchip_interp'],0.6798533792973923,0.17427952996188223,3.7962427905861738,300,24,8,2021,catboost,0.26.1
1,['gz_pchip_interp'],0.6163149328588295,0.09965264355183101,4.141731244401149,300,24,8,2021,catboost,0.26.1
