,target,MSE,MAE,iter,day,month,year,model,version
0,MultiXRF,1.209596103562878,0.5441297423632616,500,23,8,2021,catboost,0.26.1
1,MultiXRF,1.1923499769023622,0.4918499633165654,500,23,8,2021,catboost,0.26.1
