,target,offset,RMSE,MAE,iter,day,month,year,model,version
0,MultiXRF,OS0,1.1947751447949895,0.52018041618787,1000,11,1,2022,catboost,0.26.1
1,MultiXRF,OS0,1.1905246244112038,0.490511449961662,1000,11,1,2022,catboost,0.26.1
0,MultiXRF,OS1,1.0595878615324665,0.4328994558186521,1000,11,1,2022,catboost,0.26.1
1,MultiXRF,OS1,1.070623818384546,0.416792445470003,1000,11,1,2022,catboost,0.26.1
0,MultiXRF,OS2,1.0455918837086942,0.40467841414739353,1000,11,1,2022,catboost,0.26.1
1,MultiXRF,OS2,1.0827722373088222,0.41145390576929175,1000,11,1,2022,catboost,0.26.1
