,target,offset,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,gz,OS0,0.9119212128698952,0.44623058251631975,5.358346758530644,30,13,1,2022,catboost,0.26.1
1,gz,OS0,0.747074056619412,0.24474266924435328,4.831458514158843,30,13,1,2022,catboost,0.26.1
0,gz,OS1,0.8373194287661513,0.302036449047157,5.617080630337863,30,13,1,2022,catboost,0.26.1
1,gz,OS1,0.7320903490950561,0.18447361071992585,4.721179761474196,30,13,1,2022,catboost,0.26.1
0,gz,OS2,0.7627680070228608,0.27828378289917666,4.735490583396444,30,13,1,2022,catboost,0.26.1
1,gz,OS2,0.6751816307695537,0.17541279886102035,4.569925821200107,30,13,1,2022,catboost,0.26.1
