,target,offset,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,poro,OS0,1.3293980579046452,0.660925883000866,4.725567855046739,200,11,1,2022,catboost,0.26.1
1,poro,OS0,1.3223022517365934,0.6899350295438627,4.512723023688105,200,11,1,2022,catboost,0.26.1
0,poro,OS1,1.636284029374382,0.6207473267849779,6.780422161202413,200,11,1,2022,catboost,0.26.1
1,poro,OS1,1.6855588509115083,0.741365186283589,7.131228699920902,200,11,1,2022,catboost,0.26.1
0,poro,OS2,1.3151317821040878,0.6366641696708983,4.2251983401750675,200,11,1,2022,catboost,0.26.1
1,poro,OS2,1.3714073368418682,0.6063411007648671,5.06011717139222,200,11,1,2022,catboost,0.26.1
