,target,offset,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,poro,OS0,1.516724910919804,0.7396653910468673,5.070824112490825,200,11,1,2022,catboost,0.26.1
1,poro,OS0,1.4680494587934219,0.6942036288177125,5.228226948659867,200,11,1,2022,catboost,0.26.1
0,poro,OS1,1.856545329125598,0.6033665045743923,5.644671415800005,200,11,1,2022,catboost,0.26.1
1,poro,OS1,1.8941405840591474,0.6701049703219084,5.8117006632755315,200,11,1,2022,catboost,0.26.1
0,poro,OS2,1.595451841281674,0.5602400807903356,6.546222929533755,200,11,1,2022,catboost,0.26.1
1,poro,OS2,1.8457666124823202,0.5962406591050926,6.591988198217802,200,11,1,2022,catboost,0.26.1
