,target,offset,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,gz,OS0,0.9192875327218256,0.46206115698840566,4.1597245422535245,30,12,1,2022,catboost,0.26.1
1,gz,OS0,0.7487797965048082,0.23970551499402704,4.570787812705852,30,12,1,2022,catboost,0.26.1
0,gz,OS1,0.8122069319764862,0.3037937300036726,4.492459767115439,30,12,1,2022,catboost,0.26.1
1,gz,OS1,0.7022886460322156,0.19038307333775983,4.194194590638046,30,12,1,2022,catboost,0.26.1
0,gz,OS2,0.7875807380228231,0.2756837249799542,4.426154362277273,30,12,1,2022,catboost,0.26.1
1,gz,OS2,0.7033394257741494,0.18196382492620122,4.001254690230863,30,12,1,2022,catboost,0.26.1
