,target,offset,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,gz,OS0,0.9439221974158135,0.4343088149300327,4.781013204099709,30,28,11,2021,catboost,0.26.1
1,gz,OS0,0.7540593087079643,0.22915689738069234,4.510595726190781,30,28,11,2021,catboost,0.26.1
0,gz,OS1,0.8374767294368448,0.2858978387282578,5.387469685396952,30,28,11,2021,catboost,0.26.1
1,gz,OS1,0.7292168231133537,0.19385861015486872,4.494339733378896,30,28,11,2021,catboost,0.26.1
0,gz,OS2,0.7578478832238014,0.27459756796762536,4.553086380535277,30,28,11,2021,catboost,0.26.1
1,gz,OS2,0.6751582678712773,0.15278814431837429,4.723314351505814,30,28,11,2021,catboost,0.26.1
