,target,offset,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,gz,OS0,0.9214050582702411,0.4227734815462374,5.088589387912384,30,11,1,2022,catboost,0.26.1
1,gz,OS0,0.7723021721763306,0.23195351003417874,5.350891969553899,30,11,1,2022,catboost,0.26.1
0,gz,OS1,0.798278802134464,0.32337293373033815,4.279914769343511,30,11,1,2022,catboost,0.26.1
1,gz,OS1,0.7042839251912244,0.2114567064132693,4.24590783151572,30,11,1,2022,catboost,0.26.1
0,gz,OS2,0.7571468167918307,0.2672954435489152,5.074884529330102,30,11,1,2022,catboost,0.26.1
1,gz,OS2,0.6798216564112408,0.17981231451557989,4.213131056732447,30,11,1,2022,catboost,0.26.1
