,target,MSE,MAE,iter,day,month,year,model,version
0,MultiXRF,1.076213649339956,0.40108971743655325,500,23,8,2021,catboost,0.26.1
1,MultiXRF,1.0661153162445602,0.38508101833665725,500,23,8,2021,catboost,0.26.1
