,target,offset,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,poro,OS0,1.8357815576313223,0.76473913070393,6.246851960723232,200,11,1,2022,catboost,0.26.1
1,poro,OS0,1.9037166759756021,0.7860765648953416,5.31226720224532,200,11,1,2022,catboost,0.26.1
0,poro,OS1,1.9208166155059074,0.44914106201816395,7.98549567983893,200,11,1,2022,catboost,0.26.1
1,poro,OS1,1.8836464594864466,0.48050162628771087,8.080364970775252,200,11,1,2022,catboost,0.26.1
0,poro,OS2,1.191509457344951,0.3720586709905458,5.4310283745310315,200,11,1,2022,catboost,0.26.1
1,poro,OS2,1.1970705311295446,0.4520658742379817,5.365724536233676,200,11,1,2022,catboost,0.26.1
