,target,offset,RMSE,MAE,MaxError,iter,day,month,year,model,version
0,gz,OS0,0.9667442935932989,0.44426013442157153,5.508777313192559,30,12,1,2022,catboost,0.26.1
1,gz,OS0,0.7781758948463985,0.24828399342184748,4.413678362053825,30,12,1,2022,catboost,0.26.1
0,gz,OS1,0.824619398919319,0.31465569110855984,5.121356136670226,30,12,1,2022,catboost,0.26.1
1,gz,OS1,0.733724894012198,0.197138712221683,5.442749837225604,30,12,1,2022,catboost,0.26.1
0,gz,OS2,0.7749852505614889,0.27905254620484543,4.334627627007421,30,12,1,2022,catboost,0.26.1
1,gz,OS2,0.7025780356240395,0.19180244734791208,3.9080619544851714,30,12,1,2022,catboost,0.26.1
